,Company_Name,ISIN,segment1,Type_Issue1,Sector,Total_No_Securities,Fresh_No_Securities,OFS_No_Securities,Issue_Open_Date,Issue_Close_Date,Times_subscribed,Face_Value,Premimum,Issue_Price,Issue_Size,Listing_Date,Anchor,QIB,Final_QIB,NII,RII,Market_Maker,Shareholder,Employee,Policy_Holders,Underwriter,Promoters_Contribution,Reservation_Portion,Net offer to public,State,Region,6(1) / (2),Industry,Segment,state_code,State1,Region1,Exchange,Designated_Exchange,Issue_Size_Bucket
90,Ishan International Limited,,SME,IPO,Private,2280000,2280000,0.0,2022-09-09,2022-09-14,2.4084,10.0,70.0,80.0,18.24,2022-09-22,0,0.0,0,1036800,1123200,120000,0.0,0.0,0.0,0.0,0,120000,2160000,delhi,Northern,,Engineering,,del,Delhi,Northern,NSE,NSE,≥ 10crore - < 50crore
91,Tapi Fruit Processing Limited,,SME,IPO,Private,1086000,1086000,0.0,2022-09-12,2022-09-14,4.44,10.0,38.0,48.0,5.2128,2022-09-22,0,0.0,0,366000,660000,60000,0.0,0.0,0.0,0.0,0,60000,1026000,gujarat,Western,,Food processing,,guj,Gujarat,Western,NSE,NSE,≥ 5crore - < 10crore
92,KCL Infra Projects Limited,,Main Board,Right,Private,236979000,236979000,0.0,2022-08-22,2022-09-05,-,2.0,0.0,2.0,47.3958,2022-09-23,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,maharashtra,Western,,Cement/ Constructions,,mah,Maharashtra,Western,BSE,BSE,≥ 10crore - < 50crore
93,Naysaa Securities Limited,,Main Board,Right,Private,868000,868000,0.0,2022-09-07,2022-09-13,-,10.0,90.0,100.0,8.68,2022-09-23,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,maharashtra,western,,Banks/Fis,,mah,Maharashtra,Western,BSE(SME),BSE,≥ 5crore - < 10crore
94,Harsha Engineers International Limited,,Main Board,IPO,Private,22886595,13795695,9090900.0,2022-09-14,2022-09-16,80.22,10.0,320.0,330.0,755.257635,2022-09-26,6840855,4560615.0,11401470,3420450,7981065,0,0.0,83610.0,0.0,0.0,0,83610,22802985,maharashtra,Western,6(1),Engineering,,mah,Maharashtra,Western,NSE/BSE,NSE,≥ 500crore
95,Annapurna Swadisht Limited,,SME,IPO,Private,4322000,4322000,0.0,2022-09-15,2022-09-19,137.8,10.0,60.0,70.0,30.254,2022-09-27,1230000,820000.0,2050000,616000,1440000,216000,0.0,0.0,0.0,0.0,0,216000,4106000,west bengal,Eastern,,Food processing,,wes,West Bengal,Eastern,NSE,NSE,≥ 10crore - < 50crore
96,Varanium Cloud Limited,,SME,IPO,Private,3000000,3000000,0.0,2022-09-16,2022-09-20,5.026,10.0,112.0,122.0,36.6,2022-09-27,0,0.0,0,1257000,1257000,486000,0.0,0.0,0.0,0.0,0,486000,2514000,maharashtra,Western,,Info Tech,,mah,Maharashtra,Western,NSE,NSE,≥ 10crore - < 50crore
97,Kandarp Digi Smart BPO Limited,,SME,IPO,Private,2700000,2700000,0.0,2022-09-16,2022-09-20,2.87,10.0,20.0,30.0,8.1,2022-09-28,0,0.0,0,544000,2016000,140000,0.0,0.0,0.0,0.0,0,140000,2560000,delhi,Northern,,Misc,,del,Delhi,Northern,NSE,NSE,≥ 5crore - < 10crore
98,Maks Energy Solutions India Limited,,SME,IPO,Private,1998000,1998000,0.0,2022-09-16,2022-09-20,27.77,10.0,10.0,20.0,3.996,2022-09-28,0,0.0,0,948000,948000,102000,0.0,0.0,0.0,0.0,0,102000,1896000,maharashtra,Western,,Power,,mah,Maharashtra,Western,NSE,NSE,< 5 crore
99,CONTAINE TECHNOLOGIES LIMITED,,SME,IPO,Private,1744000,1744000,0.0,2022-09-20,2022-09-22,122.81,10.0,5.0,15.0,2.616,2022-09-30,0,0.0,0,824000,832000,88000,0.0,0.0,0.0,0.0,0,88000,1656000,telangana,Southern,,Electronic Equipments/ Products,,tel,Telangana,Southern,BSE,BSE,< 5 crore
